工位,序列号,阀位,板卡位,板卡工位号,层数,夹具位,夹具工位号,压力控制器,数字万用表,通道,阀门
Slot1,26071314_8#1_1,1,1,1,1,1,1,1,1;101,1;101;201,-
Slot2,26071314_8#1_2,1,1,2,1,1,2,1,1;102,1;102;202,-
Slot3,26071314_8#1_3,1,1,3,1,1,3,1,1;103,1;103;203,-
Slot4,26071314_8#1_4,1,1,4,1,1,4,1,1;104,1;104;204,-
Slot5,26071314_8#1_5,1,1,5,1,1,5,1,1;105,1;105;205,-
Slot6,26071314_8#1_6,1,1,6,1,1,6,1,1;106,1;106;206,-
Slot7,26071314_8#1_7,1,1,7,1,1,7,1,1;107,1;107;207,-
Slot8,26071314_8#1_8,1,1,8,1,1,8,1,1;108,1;108;208,-
Slot9,26071314_8#1_9,1,1,9,1,2,1,1,1;109,1;109;209,-
Slot10,26071314_8#1_10,1,1,10,1,2,2,1,1;110,1;110;210,-
Slot11,26071314_8#1_11,1,1,11,1,2,3,1,1;111,1;111;211,-
Slot12,26071314_8#1_12,1,1,12,1,2,4,1,1;112,1;112;212,-
Slot13,26071314_8#1_13,1,1,13,1,2,5,1,1;113,1;113;213,-
Slot14,26071314_8#1_14,1,1,14,1,2,6,1,1;114,1;114;214,-
Slot15,26071314_8#1_15,1,1,15,1,2,7,1,1;115,1;115;215,-
Slot16,26071314_8#1_16,1,1,16,1,2,8,1,1;116,1;116;216,-
Slot17,26071314_8#1_17,1,1,17,1,3,1,1,1;117,1;117;217,-
Slot18,26071314_8#1_18,1,1,18,1,3,2,1,1;118,1;118;218,-
Slot19,26071314_8#1_19,1,1,19,1,3,3,1,1;119,1;119;219,-
Slot20,26071314_8#1_20,1,1,20,1,3,4,1,1;120,1;120;220,-
Slot21,26071314_8#1_21,1,1,21,1,3,5,1,1;201,,-
Slot22,26071314_8#1_22,1,1,22,1,3,6,1,1;202,,-
Slot23,26071314_8#1_23,1,1,23,1,3,7,1,1;203,,-
Slot24,26071314_8#1_24,1,1,24,1,3,8,1,1;204,,-
Slot25,26071314_8#1_25,1,1,25,1,4,1,1,1;205,,-
Slot26,26071314_8#1_26,1,1,26,1,4,2,1,1;206,,-
Slot27,26071314_8#1_27,1,1,27,1,4,3,1,1;207,,-
Slot28,26071314_8#1_28,1,1,28,1,4,4,1,1;208,,-
Slot29,26071314_8#1_29,1,1,29,1,4,5,1,1;209,,-
Slot30,26071314_8#1_30,1,1,30,1,4,6,1,1;210,,-
Slot31,26071314_8#1_31,1,1,31,1,4,7,1,1;211,,-
Slot32,26071314_8#1_32,1,1,32,1,4,8,1,1;212,,-
Slot33,26071314_8#1_33,1,1,33,1,5,1,1,1;213,,-
Slot34,26071314_8#1_34,1,1,34,1,5,2,1,1;214,,-
Slot35,26071314_8#1_35,1,1,35,1,5,3,1,1;215,,-
Slot36,26071314_8#1_36,1,1,36,1,5,4,1,1;216,,-
Slot37,26071314_8#1_37,1,1,37,1,5,5,1,1;217,,-
Slot38,26071314_8#1_38,1,1,38,1,5,6,1,1;218,,-
Slot39,26071314_8#1_39,1,1,39,1,5,7,1,1;219,,-
Slot40,26071314_8#1_40,1,1,40,1,5,8,1,1;220,,-
