工位,序列号,阀位,板卡位,板卡工位号,层数,夹具位,夹具工位号,Gain,IOffSC,ADC,配置寄存器,IIC
Slot1,26070111-9#1-1,1,1,1,1,1,1,22,-0mV,25%,CC050300,0000000
Slot2,26070111-9#1-2,1,1,2,1,1,2,22,-0mV,25%,CC050300,0000000
Slot3,26070111-9#1-3,1,1,3,1,1,3,22,-0mV,25%,CC050300,0000000
Slot4,26070111-9#1-4,1,1,4,1,1,4,22,-0mV,25%,CC050300,0000000
Slot5,26070111-9#1-5,1,1,5,1,1,5,22,-0mV,25%,CC050300,0000000
Slot6,26070111-9#1-6,1,1,6,1,1,6,22,-0mV,25%,CC050300,0000000
Slot7,26070111-9#1-7,1,1,7,1,1,7,22,-0mV,25%,CC050300,0000000
Slot8,26070111-9#1-8,1,1,8,1,1,8,22,-0mV,25%,CC050300,0000000
Slot9,26070111-9#1-9,1,1,9,1,2,1,22,-0mV,25%,CC050300,0000000
Slot10,26070111-9#1-10,1,1,10,1,2,2,22,-0mV,25%,CC050300,0000000
Slot11,26070111-9#1-11,1,1,11,1,2,3,22,-0mV,25%,CC050300,0000000
Slot12,26070111-9#1-12,1,1,12,1,2,4,22,-0mV,25%,CC050300,0000000
Slot13,26070111-9#1-13,1,1,13,1,2,5,22,-0mV,25%,CC050300,0000000
Slot14,26070111-9#1-14,1,1,14,1,2,6,22,-0mV,25%,CC050300,0000000
Slot15,26070111-9#1-15,1,1,15,1,2,7,22,-0mV,25%,CC050300,0000000
Slot16,26070111-9#1-16,1,1,16,1,2,8,22,-0mV,25%,CC050300,0000000
